,AbTest,ID,Property,Test Type,AMB0,AMB1,AMB2,AMB3,AMB5,AMB8,AMB12,AMB14,AMB17,AMB18, 536696620
1,AM_Test1,1,am2,1F,13,99,0,3,10,87,99,99,91,57,-1
205,AM_Test1,2,am2,1F,0,100,0,0,5,86,100,100,100,60,-1
227,AM_Test1,3,am2,1F,0,100,0,0,0,100,100,100,100,43,-1
249,AM_Test1,4,am2,1F,2,100,0,0,1,91,100,100,99,62,-1
271,AM_Test1,5,am2,1F,0,100,0,0,0,98,100,92,46,6,-1
293,AM_Test1,6,am2,1F,0,100,0,0,7,72,100,100,100,57,-1
315,AM_Test1,7,am2,1F,0,100,0,0,0,88,100,71,5,0,-1
337,AM_Test1,8,am2,1F,0,100,0,0,0,96,100,92,12,0,-1
359,AM_Test1,9,am2,1F,0,100,0,0,0,97,100,94,11,0,-1
3,AM_Test1,10,am2,1F,0,100,0,0,0,99,100,100,98,29,-1
25,AM_Test1,11,am2,1F,0,100,0,0,0,100,100,100,100,49,-1
47,AM_Test1,12,am2,1F,0,100,0,0,0,100,100,100,100,2,-1
69,AM_Test1,13,am2,1F,0,100,0,0,0,100,100,100,68,1,-1
91,AM_Test1,14,am2,1F,0,100,0,0,0,100,100,100,91,0,-1
113,AM_Test1,15,am2,1F,0,100,0,0,0,100,100,100,100,0,-1
135,AM_Test1,16,am2,1F,0,100,0,0,0,100,100,100,58,1,-1
157,AM_Test1,17,am2,1F,0,100,0,0,0,100,100,100,33,0,-1
179,AM_Test1,18,am2,1F,0,100,0,0,0,100,100,100,23,0,-1
201,AM_Test1,19,am2,1F,0,0,0,0,0,0,0,0,0,0,-1
207,AM_Test1,20,am2,1F,0,0,0,0,0,0,0,0,0,0,-1
209,AM_Test1,21,am2,1F,0,0,0,0,0,0,0,0,0,0,-1
211,AM_Test1,22,am2,1F,0,100,0,0,0,99,100,92,17,0,-1
213,AM_Test1,23,am2,1F,0,100,0,0,0,100,100,100,58,0,-1
215,AM_Test1,24,am2,1F,0,100,0,0,0,100,100,100,64,0,-1
