,AbTest,ID,Property,Test Type,AMB0,AMB1,AMB2,AMB3,AMB5,AMB8,AMB12,AMB14,AMB17,AMB18
3345,AM_Test23,2,am44,H,3,0,0,5,0,4,0,0,0,5
3365,AM_Test23,3,am44,H,3,0,0,5,0,6,0,0,0,4
3387,AM_Test23,4,am44,H,6,0,0,4,0,3,0,0,0,1
3409,AM_Test23,5,am44,H,5,6,0,0,0,1,5,0,0,8
3431,AM_Test23,6,am44,H,2,0,0,5,0,2,0,0,0,3
3453,AM_Test23,7,am44,H,0,3,0,0,0,3,7,0,0,2
3475,AM_Test23,8,am44,H,0,3,0,0,0,5,7,0,0,4
3497,AM_Test23,9,am44,H,0,5,0,0,0,7,5,0,0,3
3153,AM_Test23,10,am44,H,3,0,0,6,0,6,0,0,0,6
3175,AM_Test23,11,am44,H,5,0,0,4,0,3,0,0,0,6
3195,AM_Test23,12,am44,H,0,0,0,4,0,5,0,0,0,5
3217,AM_Test23,13,am44,H,0,3,0,1,0,7,0,0,0,6
3239,AM_Test23,14,am44,H,0,0,0,0,0,2,0,0,0,3
3261,AM_Test23,15,am44,H,0,0,0,0,0,4,0,0,0,1
3283,AM_Test23,16,am44,H,0,3,0,1,0,4,0,0,0,4
3303,AM_Test23,17,am44,H,0,1,0,0,0,6,0,0,0,3
3325,AM_Test23,18,am44,H,0,3,0,0,0,6,0,0,0,7
3343,AM_Test23,19,am44,H,0,0,0,0,0,0,0,0,0,0
3347,AM_Test23,20,am44,H,0,0,0,0,0,0,0,0,0,0
3349,AM_Test23,21,am44,H,0,0,0,0,0,0,0,0,0,0
3351,AM_Test23,22,am44,H,0,6,0,0,0,7,3,0,0,5
3353,AM_Test23,23,am44,H,0,0,0,0,0,5,0,0,0,6
3355,AM_Test23,24,am44,H,0,0,0,0,0,7,0,0,0,6
3357,AM_Test23,25,am44,H,6,2,0,7,0,8,4,2,0,5
3359,AM_Test23,26,am44,H,1,2,0,1,0,7,1,0,0,5
3361,AM_Test23,27,am44,H,0,3,0,1,0,3,4,0,0,5
3363,AM_Test23,29,am44,H,3,7,0,4,0,5,4,0,0,5
3367,AM_Test23,30,am44,H,7,0,0,7,0,7,0,0,0,7
3369,AM_Test23,31,am44,H,0,0,0,3,0,5,0,0,0,4
3371,AM_Test23,32,am44,H,0,0,0,1,0,5,0,0,0,4
3373,AM_Test23,33,am44,H,0,7,0,0,0,2,4,0,0,4
3375,AM_Test23,34,am44,H,4,0,0,7,0,4,0,0,0,3
3377,AM_Test23,35,am44,H,0,0,0,2,0,6,0,0,0,6
3379,AM_Test23,36,am44,H,0,0,0,0,0,3,0,0,0,3
3381,AM_Test23,37,am44,H,0,0,0,7,0,7,0,0,0,5
3383,AM_Test23,38,am44,H,0,0,0,0,0,1,0,0,0,6
3385,AM_Test23,39,am44,H,0,8,0,0,0,6,6,0,0,7
3389,AM_Test23,40,am44,H,0,0,0,4,0,4,0,0,0,8
3391,AM_Test23,41,am44,H,0,1,0,0,0,2,0,0,0,5
3393,AM_Test23,42,am44,H,0,0,11,0,0,5,0,0,0,5
3395,AM_Test23,43,am44,H,0,0,0,0,0,0,0,0,0,0
3397,AM_Test23,44,am44,H,0,0,0,0,0,0,0,0,0,0
3399,AM_Test23,45,am44,H,0,0,0,0,0,0,0,0,0,0
3401,AM_Test23,46,am44,H,0,4,0,0,0,6,5,0,0,4
3403,AM_Test23,47,am44,H,0,0,0,0,0,5,0,0,0,4
3405,AM_Test23,48,am44,H,0,0,0,0,0,4,0,0,0,8
3407,AM_Test23,49,am44,H,3,0,0,2,0,6,0,0,0,5
3411,AM_Test23,50,am44,H,0,0,0,3,0,4,0,0,0,4
3413,AM_Test23,51,am44,H,0,1,0,0,0,5,3,0,0,5
3415,AM_Test23,52,am44,H,1,10,0,3,0,6,2,0,0,5
3417,AM_Test23,53,am44,H,0,1,0,0,0,3,0,0,0,7
3419,AM_Test23,54,am44,H,0,0,0,7,0,6,0,0,0,6
3421,AM_Test23,55,am44,H,3,0,0,2,0,3,0,0,0,6
3423,AM_Test23,56,am44,H,1,0,0,0,0,7,0,0,0,3
3425,AM_Test23,57,am44,H,2,0,0,0,0,6,0,0,0,5
3427,AM_Test23,58,am44,H,5,0,0,7,0,5,0,0,0,5
3429,AM_Test23,59,am44,H,3,0,0,7,0,2,0,0,0,4
3433,AM_Test23,60,am44,H,6,0,0,0,0,1,0,0,0,3
3435,AM_Test23,61,am44,H,2,0,0,6,0,6,0,0,0,3
3437,AM_Test23,62,am44,H,0,0,0,5,0,5,0,0,0,7
3439,AM_Test23,63,am44,H,0,0,0,5,0,7,0,0,0,5
3441,AM_Test23,64,am44,H,2,0,0,1,0,6,0,0,0,7
3443,AM_Test23,65,am44,H,0,0,0,5,0,4,0,0,0,5
3445,AM_Test23,66,am44,H,5,0,0,0,0,6,0,0,0,5
3447,AM_Test23,67,am44,H,0,0,0,0,0,0,0,0,0,0
3449,AM_Test23,68,am44,H,0,0,0,0,0,0,0,0,0,0
