,AbTest,ID,Property,Test Type,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
0,H_Test1,1,h1,F,0,0,99,0,98,0,0,100,100,11,100
2,H_Test1,2,h1,F,0,0,100,0,100,0,0,100,100,13,100
3,H_Test1,3,h1,F,0,0,100,0,100,0,0,100,100,4,100
4,H_Test1,7,h1,F,0,0,0,0,0,0,0,0,0,0,0
5,H_Test1,8,h1,F,0,0,100,0,100,0,0,100,100,5,100
6,H_Test1,9,h1,F,0,0,100,0,100,0,0,100,100,7,100
1,H_Test1,10,h1,F,0,0,100,0,100,0,0,100,100,5,100
13,H_Test2,4,h2,F,0,100,100,100,91,0,100,0,100,100,100
14,H_Test2,5,h2,F,0,100,100,100,95,0,100,0,100,100,100
15,H_Test2,6,h2,F,0,100,100,100,98,0,100,0,100,100,100
16,H_Test3,7,h3,F,0,0,0,0,0,0,0,0,0,0,0
17,H_Test7,1,h4,F,0,0,0,0,4,36,0,100,0,19,0
19,H_Test7,2,h4,F,0,0,0,0,4,39,0,100,0,7,0
20,H_Test7,3,h4,F,0,0,0,0,2,43,0,100,0,4,0
21,H_Test7,4,h4,F,0,0,0,0,4,0,0,0,0,13,0
22,H_Test7,5,h4,F,0,0,0,0,4,0,0,0,0,6,0
23,H_Test7,6,h4,F,0,0,0,0,3,0,0,0,0,1,0
24,H_Test7,7,h4,F,100,100,100,100,100,100,100,100,100,100,100
25,H_Test7,8,h4,F,0,0,0,0,3,32,0,100,0,9,0
26,H_Test7,9,h4,F,0,0,0,0,3,43,0,100,0,11,0
18,H_Test7,10,h4,F,0,0,0,0,2,43,0,100,0,2,0
10,H_Test11,4,h8,I,0,0,52,72,84,0,100,100,100,94,100
11,H_Test11,5,h8,I,0,0,51,66,87,0,100,100,100,96,100
12,H_Test11,6,h8,I,0,0,45,79,79,0,100,100,100,99,100
7,H_Test10,4,h7,M,0,0,0,18,16,0,100,0,100,4,0
8,H_Test10,5,h7,M,0,0,0,22,18,0,100,0,100,0,0
9,H_Test10,6,h7,M,0,0,0,13,30,0,100,0,100,2,0
27,H_Test8,1,h5,M,0,0,0,0,19,0,0,0,100,10,0
29,H_Test8,2,h5,M,0,0,0,0,21,0,0,0,100,3,0
30,H_Test8,3,h5,M,0,0,0,0,34,0,0,0,100,1,0
31,H_Test8,7,h5,M,100,100,100,100,100,100,100,100,100,100,100
32,H_Test8,8,h5,M,0,0,0,0,22,0,0,0,100,2,0
33,H_Test8,9,h5,M,0,0,0,0,33,0,0,0,100,2,0
28,H_Test8,10,h5,M,0,0,0,0,34,0,0,0,100,1,0
34,H_Test9,1,h6,M,0,0,0,1,32,0,100,0,100,4,0
36,H_Test9,2,h6,M,0,0,0,0,20,0,100,0,100,4,0
37,H_Test9,3,h6,M,0,0,0,0,22,0,100,0,100,2,0
38,H_Test9,7,h6,M,0,0,50,100,0,0,100,0,100,100,0
39,H_Test9,8,h6,M,0,0,0,0,39,0,100,0,100,4,0
40,H_Test9,9,h6,M,0,0,0,1,30,0,100,0,100,3,0
35,H_Test9,10,h6,M,0,0,0,4,22,0,100,0,100,1,0
