,AbTest,ID,Property,Test Type,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
0,S_Test1,1,s1,1F,-1,100,-1,100,100,100,100,100,89,100,100
11,S_Test1,2,s1,1F,-1,100,-1,100,100,100,100,95,84,100,100
22,S_Test1,3,s1,1F,-1,100,-1,92,100,100,100,96,80,100,100
33,S_Test1,4,s1,1F,-1,100,-1,100,100,100,100,100,83,100,100
41,S_Test1,5,s1,1F,-1,100,-1,100,100,100,100,87,90,100,100
42,S_Test1,6,s1,1F,-1,100,-1,100,100,100,100,99,85,100,100
43,S_Test1,7,s1,1F,-1,100,-1,100,21,100,17,100,91,100,19
44,S_Test1,8,s1,1F,-1,100,-1,100,78,100,79,100,78,100,72
45,S_Test1,9,s1,1F,-1,100,-1,100,99,100,98,100,87,100,98
1,S_Test1,10,s1,1F,-1,100,-1,100,100,100,100,100,85,100,100
2,S_Test1,11,s1,1F,-1,100,-1,100,100,100,100,100,85,100,100
3,S_Test1,12,s1,1F,-1,100,-1,100,100,100,100,100,84,100,100
4,S_Test1,13,s1,1F,-1,100,-1,100,100,100,100,100,90,100,100
5,S_Test1,14,s1,1F,-1,100,-1,100,100,100,100,80,83,100,100
6,S_Test1,15,s1,1F,-1,100,-1,100,100,100,100,89,87,100,100
7,S_Test1,16,s1,1F,-1,0,-1,96,3,0,96,71,98,4,100
8,S_Test1,17,s1,1F,-1,100,-1,100,100,100,100,100,84,100,100
9,S_Test1,18,s1,1F,-1,0,-1,87,0,0,82,100,89,21,100
10,S_Test1,19,s1,1F,-1,100,-1,100,50,100,40,100,92,100,41
12,S_Test1,20,s1,1F,-1,100,-1,100,75,100,86,100,82,100,85
13,S_Test1,21,s1,1F,-1,100,-1,100,96,100,96,100,81,100,92
14,S_Test1,22,s1,1F,-1,100,-1,100,100,100,100,100,82,100,100
15,S_Test1,23,s1,1F,-1,100,-1,100,100,100,100,100,82,100,100
16,S_Test1,24,s1,1F,-1,100,-1,100,100,100,100,100,90,100,100
17,S_Test1,25,s1,1F,-1,100,-1,100,24,100,26,100,95,100,32
18,S_Test1,26,s1,1F,-1,100,-1,100,84,100,81,100,89,100,80
19,S_Test1,27,s1,1F,-1,100,-1,100,94,100,95,100,87,100,96
20,S_Test1,28,s1,1F,-1,100,-1,100,22,100,16,100,93,100,17
21,S_Test1,29,s1,1F,-1,100,-1,100,71,100,71,100,82,100,75
23,S_Test1,30,s1,1F,-1,100,-1,100,76,100,86,100,85,100,88
24,S_Test1,31,s1,1F,-1,0,-1,0,0,0,0,0,98,0,0
25,S_Test1,32,s1,1F,-1,100,-1,100,54,100,59,100,86,100,71
26,S_Test1,33,s1,1F,-1,100,-1,100,83,100,81,100,79,100,85
27,S_Test1,34,s1,1F,-1,100,-1,100,96,100,98,100,83,100,96
28,S_Test1,35,s1,1F,-1,100,-1,48,100,100,98,81,82,98,100
29,S_Test1,36,s1,1F,-1,100,-1,100,100,100,100,100,87,100,100
30,S_Test1,37,s1,1F,-1,100,-1,100,100,100,100,100,81,100,100
31,S_Test1,38,s1,1F,-1,100,-1,100,100,100,100,100,89,100,100
32,S_Test1,39,s1,1F,-1,100,-1,100,100,100,100,100,81,100,100
34,S_Test1,40,s1,1F,-1,100,-1,100,100,100,100,100,88,100,100
